iso2c	Country	Year	AG.YLD.CREL.KG	EG.IMP.CONS.ZS	EG.USE.COMM.FO.ZS	FI.RES.TOTL.CD	MS.MIL.MPRT.KD	NY.GDP.PCAP.CD	SH.DYN.MORT	TX.VAL.MRCH.CD.WT	GDPPCKD	AG.PRD.CREL.MT	SP.POP.DPND	SP.POP.TOTL	EN.URB.LCTY.UR.ZS	SP.URB.TOTL.IN.ZS	SP.DYN.TFRT.IN	AG.LND.AGRI.ZS	EN.ATM.CO2E.PC	EG.USE.ELEC.KH.PC
CA	Canada	1982	2482.843	-12.3483587031723	79.0659681306063	12269213051.4844	2.74e+08	12217.3734337922	11.2	7.1234e+10	23626.7989670429	53333208	46.4314499709142	25202000	16.3685624067494	75.9394	1.69	7.28827482457269	15.8831066185223	12937.2668835807
CA	Canada	1983	2204.601	-15.4201855695095	77.0090250689005	11161312990.808	6.47e+08	13113.1689308021	10.6	7.6749e+10	23993.7832343923	47447208	46.1869308742808	25456000	16.5505373084045	76.0776	1.68	7.33094261731719	15.6020362979258	13409.7265870522
CA	Canada	1984	2027.974	-21.2108720028896	76.8491926363964	8699532907.47986	6.46e+08	13506.3715403926	10.1	9.0272e+10	25091.2340607732	42793504	46.0671352511777	25702000	16.7420007420664	76.2158	1.65	7.37350044152368	15.8242278421913	14290.4054159209
CA	Canada	1985	2222.088	-25.0061120457639	75.4050843183529	9077365124.95451	9.19e+08	13711.5155993565	9.7	9.095e+10	26024.7486599569	48239300	46.0458753894554	25942000	16.9401280165693	76.354	1.67	7.41616823426818	15.4905376994835	14800.0539665407
CA	Canada	1986	2570.4	-22.0940862730008	73.563610003931	10961345918.4	8.86e+08	14076.7523440655	9.4	9.0329e+10	26334.7122424638	56964700	46.1103953281057	26204000	17.152820574236	76.3996	1.675	7.45861608993667	14.7771535643413	15302.587391238
CA	Canada	1987	2396.643	-24.5550318818222	73.7947723247924	16241918394.2	7.88e+08	15876.8424072512	9.1	9.8168e+10	27045.1302154564	51635200	46.2508248589789	26550000	17.3610276595315	76.4452	1.68	7.45718649894265	15.508578606403	15736.7608286252
CA	Canada	1988	1754.385	-29.1182754361568	74.0229365088652	22421923484	7.41e+08	18522.6583709965	8.8	1.17105e+11	27967.5752910079	35494200	46.4469801733671	26895000	17.5760292238954	76.4908	1.68	7.45564693941063	16.1495252649191	16326.4175497304
CA	Canada	1989	2193.616	-26.1490865915087	75.0517791098233	22511812468.8	6.7e+07	20289.7663725305	8.6	1.21832e+11	28131.5184067243	48089308	46.677419152686	27379000	17.7050228382859	76.5364	1.77	7.45388744280261	16.0842262317835	16402.5713137806
CA	Canada	1990	2636.28	-31.2382161887003	74.5654361519361	23529521612.2	1.59e+08	20968.041152761	8.3	1.27629e+11	27754.7538074701	56806235	46.9223504751336	27791000	17.887394821553	76.582	1.83	7.4523478832706	16.1950480011515	16109.2799827282
CA	Canada	1991	2580.733	-37.0177193789354	73.2021692652487	20836198488.2	7.6e+08	21234.3758233987	8	1.27163e+11	26799.9473570214	53857200	47.1760166803694	28171681.963727	18.044695186869	76.8006	1.7	7.45069835520058	15.93988909069	16104.4697503031
CA	Canada	1992	2460.674	-37.9287746237049	74.2663793291802	14744859750	3.85e+08	20320.4737093003	7.7	1.34435e+11	26704.726146666	49647550	47.4246340028659	28519597.3575112	18.0989101270294	77.0192	1.71	7.45740643601866	16.3974560067495	16080.3462352955
CA	Canada	1993	2647.191	-43.3744583615857	73.435232021003	14845681708.39	2e+08	19549.0170997903	7.4	1.45178e+11	27105.5807585117	51483100	47.6332051920317	28833410.3605443	18.1767038858885	77.2378	1.7	7.46400454829873	16.5752196505338	16235.9913082152
CA	Canada	1994	2594.87	-48.3858807190629	72.5512170556565	13774518645.6874	4.73e+08	19390.4853731396	7.2	1.65376e+11	28071.8313785155	46617100	47.7604188273681	29111906.4041261	18.2797492662394	77.4564	1.6695	7.47060266057881	15.6118819802053	16325.6570491254
